bank1,234,987,88,189
bank2,244,444,982,1123
bank3,2234,874,123,134
bank4,2934,746,345,148
bank5,9234,12,195,0
bank6,8234,73,332,138
bank7,33234,872,0,3441
bank8,1234,784,12,1899
bank9,898,87,23,11
bank10,8988,89,47,4581
bank11,12,9889,228,893
bank12,5575,234,298,3848
bank13,784,23,15,232
bank14,9989,1234,990,990
bank15,34,785,12,134
bank16,889,889,889,221
bank17,475,112,223,334
bank18,334,23,23,9989
bank19,9876,887,2,8898
bank20,3,0,1,7747
bank21,0,0,0,342
bank22,7646,7646,7646,23
bank23,234,234,234,887
bank24,877,875,873,22332
bank25,8878,223,24,87
bank26,9,9,9,23
bank27,7,8,9,10
bank28,66,77,88,220
bank29,3346,9989,4438,12345
bank30,1234,221,83,876
